match_id,timestamp,home_team_id,away_team_id,home_score_total,away_score_total,home_sets_won,away_sets_won,score_diff,set_diff,home_current_score,away_current_score,set_info,game_duration,match_status,home_win_rate_last5,away_win_rate_last5,head_to_head_win_rate_home
198935,2025-06-04 09:49:43.775540,2384,2605,39,44,0,1,-5,-1,17,19,Set 1: 22-25 | Set 2: 17-19,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:50:09.549286,2384,2605,40,44,0,1,-4,-1,18,19,Set 1: 22-25 | Set 2: 18-19,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:51:11.913904,2384,2605,40,45,0,1,-5,-1,18,20,Set 1: 22-25 | Set 2: 18-20,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:51:22.852209,2384,2605,41,43,0,1,-2,-1,19,18,Set 1: 22-25 | Set 2: 19-18,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:51:48.676747,2384,2605,41,46,0,1,-5,-1,19,21,Set 1: 22-25 | Set 2: 19-21,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:52:45.939998,2384,2605,42,46,0,1,-4,-1,20,21,Set 1: 22-25 | Set 2: 20-21,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:54:23.486820,2384,2605,43,47,0,1,-4,-1,21,22,Set 1: 22-25 | Set 2: 21-22,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:55:36.389975,2384,2605,43,49,0,1,-6,-1,21,24,Set 1: 22-25 | Set 2: 21-24,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 09:57:38.126070,2384,2605,45,49,0,1,-4,-1,23,24,Set 1: 22-25 | Set 2: 23-24,150m 0s,2nd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:04:28.881532,2384,2605,46,51,0,2,-5,-2,24,26,Set 1: 22-25 | Set 2: 24-26,150m 0s,Pause,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:05:31.381749,2384,2605,47,51,0,2,-4,-2,1,0,Set 1: 22-25 | Set 2: 24-26 | Set 3: 1-0,150m 0s,3rd set,0.6,0.8,0.21428571428571427
